review_es,sentimiento
"Tenía 19 o 20 años, años en el momento y viviendo en Salt Lake City, Utah y yo todavía recordamos el nuevo cúpula de cúpula, llamado el siglo 21. Sillas de reajuste que se mecían y un nuevo sistema de sonido, gran pantalla y enorme espacio abierto entre La pantalla y el teatro lleno. Sentimos toda la emoción de una nueva vista previa de una película. Ta da da daa da ta da dada dada ... Todavía puedo escuchar la música de apertura que suena la trompeta y el accidente de los platillos. Me encantó la interacción de los personajes y las vistas filmadas. Conozco a Peter Finch y Luv y Sally tuvieron algunos problemas con el fregadero de labios, pero oye, este fue un buen aspecto, ¡se siente mejor en las cosas de la película! Lo que me arrepiento es la forma en que cortan el corazón significativo, mostraron la versión de corte y luego lo llamaron un flop. Vi la versión cortada y puedo ver que perdió su vista de la visión que tenía en la edición de vista previa. Sí, lo demoré en el esfuerzo de Peter por hacer el amor a través de la música, pero sabes que no lo vi de esa manera cuando salí del teatro. Cuando nos encuestaban mientras nos fuimos, me arrepiento de algún comentario que hice que pueda haber alterado el original. Me gustó entonces y todavía lo veo mientras escucho la música en mi LP. La mayor parte de mi familia me ha escuchado cantar gran parte de la pista de sonido y puedo usar los monólogos de las películas en nuestros juegos de ""Qué película es esta"". Deseo que un DVD de un director estaba disponible. Está disponible en VHS, pero no es lo mismo. Me gustaría particularmente a un señor de los comentarios de estilo de los anillos serios de sus orígenes, luchas y triunfos. Las personas delicado deben dejar las cosas lo suficientemente bien. ¡¡¡¡Tráelo de vuelta!!!!",positivo
"Después de ver las ofrendas de medianoche, todavía estoy convencido de que la primera película decente sobre las brujas (adolescentes) aún tiene que hacerse. Yo no pensé mucho en la nave y tampoco estoy encantado. La única película que más o menos disfruté (sobre las brujas adolescentes) era pequeñas brujas (1996), e incluso que uno no era muy bueno. Pero los cambios son que si le gustó todas las películas mencionadas anteriormente, también disfrutará de la medianoche. Pero me sorprendió bastante que toda esta película lo juegue en serio. La actuación es decente y seria todo el tiempo. No se están jugando chistes con adolescentes o algo así. Y la puntuación musical, al principio, pensé que era bastante bueno. Añadió algo de miedo y también algo ""con clase"", con el uso de violines amenazadores y todo. Pero a medida que avanzaba la película, llegué a la conclusión de que el puntaje era demasiado ambicioso. No tuvieron que agregar los violines amenazadores cuando simplemente ves a alguien de nuevo un automóvil y luego se aleja a la velocidad normal. Entonces hay Melissa Sue Anderson, quien fue la razón principal para mí para ver esta película. Hace unas semanas, la vi en un feliz cumpleaños, un plotón bastante agradable, grueso (y tonto en algunas ocasiones), la película que había hecho en el mismo año que las ofrendas de medianoche. Y debo decir, fue muy buena como la mala bruja helada Vivian. Pero el principal problema con la película es: ¡casi no pasa nada! Vivian causa una muerte y un accidente, sí, pero eso es todo. Luego está Robin, la buena bruja, que está aprendiendo sobre sus poderes. Y esperamos que los dos usen sus poderes más de una vez, pero en una sola ocasión usan sus poderes para hacer que algunas piezas de madera y otras cosas vuelan a través del aire como proyectiles. ¿Se suponía que era una pelea entre dos poderosas brujas? Y lo que es peor, esperaba ver un espectáculo espectacular entre las brujas al final de la película con al menos algunos efectos especiales, los ojos llameantes o lo que sea ... pero no pasa nada. Hay una especie de confrontación al final, pero es una gran decepción. Así que, la actuación de las dos brujas fue buena. El puntaje musical fue decente (aunque sea demasiado ambicioso). Y la cinematografía era bastante oscura y de mal humor a veces. Pero eso no hace una buena película todavía, ¿verdad?",negativo
"En una palabra, esta película fue aburrida.Carecía de vida y chispa.Un gran problema es con los dos clientes potenciales.Jude Law y Gwyneth Paltrow no tuvieron química en absoluto.Era aburrido, y ella era molesta.Las imágenes fueron interesantes, pero no mejoraron las escenas.En todo caso, los visuales tendían a separar a la audiencia de lo que estaba sucediendo en la pantalla.Ninguna de las secuencias de acción se sintió real, y por lo tanto, la película no pudo crear ningún drama real o un sentido del peligro. La película tenía potencial, pero necesitaba un mejor guión, mejor actuación y un mejor director.Seguí pensando durante la película, ya sabes, esta película había trabajado si Harrison Ford era el Capitán Sky, Karen Allen era Polly, y Steven Spielberg era el director.Ignora los aclamados críticos para esta película.Los críticos, creo que están alabando la película porque * quieren que le guste y quieren que tenga éxito a pesar de que falla en tantos niveles diferentes.",negativo
"La mayor parte de esta película es una sátira hilarante alternativamente y brutal en el nazismo y el fascismo, hecha a la altura de los sucesos de los movimientos. En los momentos finales de la película, Chaplin abandona toda pretensión de hacer arte (sin mencionar la comedia) ycambia completamente a propaganda.Y no la propaganda anti nazi, tampoco, pero algunas de las propaganda ""progresivas"" más astas y idóticas que se encuentran en la mente de Hollywood. Nunca le importa que nada que hemos visto hasta ahora indica que el barbero es incluso capaz de dar el discurso que vemos.Él le da (entregado, irónicamente, con un fanatismo inquietante de ojos salvajes);No se debe permitir que tales trivialidades interfieran con el mensaje.",positivo
"Tendría que decir que esta es una de las mejores películas animadas que he visto. Me gustó la primera vez, pero realmente lo aprecié en la segunda visión, hace solo unas semanas. Puedo ver por qué la secuela está haciendo un excelente negocio en la taquilla. Aparentemente, le gustó mucha gente. Una hermosa paleta de colores (hombre, esto se ve bien) y un montón de buen humor adulto (pero limpio), haga que este sea un gran ganador. La escena de apertura de 3 a 4 minutos con ""SCAT"", es excelente, al igual que los interludios posteriores con él. ""Sid"" la perezosa (con voz en que John Leguizano), sin embargo, proporciona el humor principal en la película. Por lo general, tiene algo gracioso que decir a lo largo de la película. Rrayro Romano es la voz del mamut, el gran carácter de la película, literalmente, mientras que Denis Leary es el feroz TigerThis de Sabertooth Bad-Guy-girat-Good Sabertooth no es simplemente el humor y Bonitos colores, pero una bonita historia sentimental de cómo un pequeño bebé suaviza un par de personajes difíciles. Esto no se interrumpe con muchas canciones, tampoco: una sola breve y no hay nada ofensivo, Wise-Wise.Si las películas más animadas eran tan buenas, tendría más.",positivo
"En el año 2000 (tenga en cuenta que esto es hace dos años, no hace dos años), dos hombres tenían la motivación para crear la obra de arte más milagrosos en este lado del Mississippi. Gracias a Jere Cunningham y Tom Flynn, el mundo puede Ahora disfrute de la segunda cadena, una deliciosa película de TV que muestra una historia de una banda de la etiqueta de RAG de segundos largueros (por lo tanto, el título) que se empujan a la posición de los arrancadores debido a un orden de ostras malas. Porque la dirección motivadora de ambos El director Robert Lieberman y el QB de última hora de Buffalo Bills, Dan ""le dan 'Em Hell"" Heller (retratados por el actor canadiense, Blisis de Gil) El Super Bowl Snake-Bitten Bills se encuentra en la posición definitiva. Con una mezcla intrigante de interna. y un conflicto externo, una historia de amor, comraderie que solo puede traer el buen deporte del fútbol, ​​y una teoría general de que el perdedor puede competir, la segunda cadena es una excelente película digna de visualizar todos los momentos posibles que aparece en TNT. La única cosa potencialmente malo acerca de Esta producción es la ortografía del primer nombre del diseñador del disfraz, Jenifur Jarvis.",positivo
"Mientras quería quería que esta película desde la primera vez que vi el tráiler, estaba por una profunda sorpresa con esta película.Mientras que algunos de los elementos y acciones de los personajes también parecían un poco ""caricatura"", la naturaleza oscura de la película realmente hace que esta experiencia muy diferente.En lugar de la historia de la sensación, esta película, esta película lo lleva en otra dirección que demuestra ser edificante, pero también perturbador.La mayoría de los niños no entenderán algunos de los momentos más oscuros de la película, lo que hace que esta película sea bastante seguible para los adultos.También me impresionó la cinematografía, utilizando la animación y la animación digital para crear una red de sartenes y tilts sin problemas.El puntaje musical fue una vez más sólido, demostrando que Hans Zimmer es el chico de Go-to cuando se trata de puntajes animados, y nunca pensé que diría que realmente disfruté de la música de Brian Adams.",positivo
"Amorosamente elaborado y terriblemente interesante para ver a Garfield's Gritty, un rendimiento de avance (introduciendo un nuevo tipo de estilo de actuación rebelde que se trasladaría a los brillos y los cursos, y así sucesivamente después de la guerra), pero todo ese afecto hermano es un poco sofocante. Priscilla Lane es un intérprete brillante y atractivo, pero las otras hermanas realmente no se registran (aunque todos se les permite ser tartas e ingeniosas) y acabo de tener dificultades para comprar cualquiera de los otros personajes masculinos, además de Garfield. Jeffrey Lynn es un actor agradable, pero le falta el peso de la estrella de la película para que coincida con la fuerte suerte de Garfield Mickey Borden y que arroja la película un poco fuera de Whack. (Imagina un Jimmy Stewart o alguien en la parte.) Además, no estaba convencido de que Garfield hiciera que Garfield hiciera el fundamental (para decir lo menos) de la decisión final que realizaba. La película necesitaba otra media hora de tiempo de funcionamiento para explicar mejor esa acción; Se siente terriblemente apresurado y motivado. No es difícil entender cómo nadie que creció con esta imagen lo recordaría con cariño. Cae de ser un clásico, pero contiene algunos momentos clásicos. Las dos escenas de balanceo de la puerta son la magia pura de la película.",positivo
"Esta película es muy aterradora con escenas donde el diablo usa el cuerno de Gabriels para abrir el cielo y sacar a los buenos perros de ángel y hacer que los implemente en Alkatraz.El diablo canta y baila a algunas canciones sobre las alegrías de ser malas, y en un momento dado, come una rata en vivo. Tenemos esta película gratis con una pizza.Tienes lo que pagas.",negativo
"Estaba emocionado por el concepto de que mi héroe de cómics favorito estaba en la televisión ... y muy decepcionado al resultado final. La única cosa ""increíble"" era la pared que se arrastraba (a pesar de la visibilidad del cable).No pensé que Nick Hammond era Peter Parker ... y fue visiblemente de una constitución diferente que el tipo que hizo los trucos en el traje de la araña.Podrías decir que eran dos actores diferentes. Preguntó, también puedo detectar las películas modernas de Spider-Man cuando estoy mirando a Tobey MacGuire y cuando estoy mirando a CGI.Pero eso es de un ojo entrenado y experiencia trabajando con CGI.Aún así, la versión de los años 70 podría haber sido mejor a pesar de la falta de FX especial. Las redes se hincharon y parecían cuerdas que parecían envolver las cosas en lugar de adherirse a ellos.Y lo que pasó con darle un móvil de araña para montar. ¿Hola?Él es la gente de Slinger Web. Sorry ... no quise quedarte tan nervioso, pero nuestro querido crawler de la pared merecía mejor.",negativo
"Aunque estoy muy familiarizado con el poeta Dylan Thomas, no sé nada de su vida. Cualquiera sea su vida y específicamente su matrimonio involucrado, me imagino que el borde del amor (basado en la novela) manipula un poco las cosas, pero a menos que seas un historiador o un poeta, a quien le importa. La película es menos sobre Thomas y más enfocada En las dos mujeres más importantes en su vida. Una es su esposa Kathrine, y la otra es Vera, quien fue su primer amor. Una noche romántica en la playa, ya que los jóvenes son algo que ambos han tratado de ponerlos detrás de ellos, pero ahora no pueden, ahora han crecido, son buenos amigos. Olvidé mencionar que esto se establece durante la guerra. Vera se compromete a que el Capitán matará a quien la consigue embarazada y se va a la guerra. Mientras está lejos, Vera comienza a caer por Thomas de nuevo, y Kathrine se ha caído de amor con él. Ella también está llevando a la niña de otro hombre. Las cosas obtienen aún más emocionalmente complejas cuando se puede ver Capt Killig Returnsas, es una parcela muy operativa de jabón, y se necesita forma en una manera lenta de hadas, con quizás una demasiada cantidad de secuencias de diálogo sappy. Pero todo aún no se pierde. Para una producción no de Hollywood, creo que el borde del amor es tan elegante como una imagen como se puede obtener. Ciertamente es más dimensional e inteligente que aproximadamente el 90% de los romances contemporáneos, la producción de Hollywood o no. Algunos de ellos tienen que ver con ser establecido durante la guerra, lo que establece un conflicto emocional que se siente más convincente y menos artificial, un poco similar a la expiación. Este presenta actuación y cinematografía de igual talento al nominado Oscar de Joe Wright, pero es mucho mayor necesidad de ritmo y progresión estable. Las cosas están bien al inicio y finalizar, pero la sección central es donde se puede probar su capacidad de atención, a menos que esté profundamente enraizado en la historia. Dudo que el borde del amor tenga ese tipo de efecto en el espectador, pero es una buena película para verificar. Incluso podría hacer una buena película de cita, considerando que es mucho más inteligente que el polluelo que los novios se ven obligados a soportar hoy.",positivo
"Si solo el escritor / productor / ""estrella"" tuviera el menor indicio de los límites de su rango de actuación, y la forma en que se percibe en la pantalla (con gafas y una separación lateral no es suficiente para hacer que se vea gawky y peculiar si Su cara y sus dientes han sido esculpidos por varios profesionales médicos para ajustarse a los ideales estadounidenses de simetría genérica y sin carácter, percibidos erróneamente como belleza en esta sociedad obsesivamente superficial), habría arrojado a John Heder como el personaje principal en lugar de intentar tirar de un buen La caza de voluntad y creará un vehículo para mostrar su ... su ... bueno, él mismo. El excelente reparto de apoyo (Señor sabe, debe tener problemas para aceptar esto) se desperdicia en una lucha perpetua agonizante para reaccionar de manera convincente a Un personaje principal incapaz de entregar incluso la línea más sencilla con la entonación adecuada y créeme, no es menos que las líneas simples para elegir, ya que el diálogo parece haber sido compuesto por un niño de cinco años. Ah, espera ... Es la misma persona que finge ser escritora como fingiendo ser un actor. No es a menudo que no veo una película hasta el final, pero esta eyaculación fue irredimible desde el principio y no mostró signos de mejorar después de la primera hora. Excremento.",negativo
"Las partes más agradables de esta película fueron los clips de la película original.La actuación fue pobre y la premisa de los cuadros de los cuadros sexuales fue repugnante.Los efectos fueron marginales en el mejor de los casos.No hubo actuaciones de pie, Amy Irving se puso en esta película para tratar de hacer una parte de la audiencia de Halloween H20.El original era mucho más agradable y gratificante.Lamento decir que esto no va a ser uno de los años 10, mejor ... hasta ahora está en la parte inferior de mi lista.¡No te molestes con esta gente !!",negativo
